Date,Time,Hour,Year,Month,Day,DayOfWeek,Crash Latitude,Crash Longitude,KABCO Severity,# of Fatalities per Crash,# Serious Injuries,# Visible Injuries,Geolocated City,Geolocated County,Roadway (From Crash Report),Intersection Name (from Crash Report),Manner of Collision (Crash Level),Location at Impact (Crash Level),Light Conditions (Crash Level),Weather Conditions (Crash Level),Surface Condition (Crash Level),Agency Name (Crash Level),Safety Equipment (Crash Level),First Harmful Event (Unit Order),Most Harmful Event (Crash Level),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",join_id,TMAS Station ID,TMAS Latitude,TMAS Longitude,TMAS Functional Class,Crash_to_TMAS_m,TMAS_TADA_match_method,TADA Station ID,tada_join_id,TADA Latitude,TADA Longitude,TADA Functional Class,TADA Year,TADA Station Type,TADA Statistics Type,AADT,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,TMAS_to_TADA_m
2022-01-01,16:30:00,16,2022,1,1,Saturday,33.759656,-84.378486,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,John Lewis Freedom Pkwy Ne,Fort St Ne and John Lewis Freedom Pkwy Ne,Sideswipe-Same Direction,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown"",""Unknown"",""Booster Seat (Properly Used)"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Improper Turn,9,000009,33.75873,-84.37843,1U,102.87467074062756,spatial_same_fc,121-R028,121R028,33.758684,-84.378337,1U : Urban Principal Arterial - Interstate,2025,Short Term,Actual,7370,,,,,0.0921,1.0,9290,10.016676357694505
2022-01-01,18:37:00,18,2022,1,1,Saturday,33.807408,-84.379604,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,None and I-85,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Motorcycle Helmet"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Changed Lanes Improperly""]",322,000322,33.80709,-84.37974,1U,37.46487019345638,spatial_same_fc,121-5969,1215969,33.80723,-84.3798,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,235000,7102.0,4620.0,0.28,0.137,0.0691,0.52,296000,16.497889805724764
2022-01-02,23:45:00,23,2022,1,2,Sunday,33.74299,-84.403274,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Sideswipe-Same Direction,Entrance/Exit Ramp,Dark-Lighted,Cloudy,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,315,000315,33.74291,-84.40256,1U,66.77409168625246,spatial_same_fc,121-5505,1215505,33.742883,-84.403011,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,188000,6334.0,5463.0,0.277,0.174,0.0726,0.5,243000,41.910957623413125
2022-01-02,18:25:00,18,2022,1,2,Sunday,33.742505,-84.403767,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Clear,Wet,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,315,000315,33.74291,-84.40256,1U,120.56549022978815,spatial_same_fc,121-5505,1215505,33.742883,-84.403011,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,188000,6334.0,5463.0,0.277,0.174,0.0726,0.5,243000,41.910957623413125
2022-01-02,05:30:00,5,2022,1,2,Sunday,33.677303,-84.397734,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,I-75 and Exit 241,Not a Collision with Motor Vehicle,On Roadway - Non-Intersection,Dark-Lighted,Cloudy,Water (standing or moving),Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Exceeding Speed Limit,309,000309,33.67633,-84.39741,1U,112.0617160979082,spatial_same_fc,121-5463,1215463,33.67629,-84.39758,1U : Urban Principal Arterial - Interstate,2025,CCS,Estimated,177000,3915.0,6014.0,0.146,0.202,0.0686,0.53,223000,16.382345900484374
2022-01-02,11:19:00,11,2022,1,2,Sunday,33.762101,-84.492659,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-285,None and I-285,Not a Collision with Motor Vehicle,Off Roadway,Daylight,Rain,Wet,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]",Motor Vehicle in Motion,Motor Vehicle in Motion,"[""Too Fast for Conditions"",""Inattentive or Other Distraction (Distracted)""]",R376,00R376,33.76358,-84.4916,1U,191.19617303588885,spatial_same_fc,121-9438,1219438,33.76358,-84.4916,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,20500,,,,,0.0856,1.0,25800,0.0
2022-01-02,10:44:00,10,2022,1,2,Sunday,33.764869,-84.493524,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,I-20 and I-285 N,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Inattentive or Other Distraction (Distracted),R376,00R376,33.76358,-84.4916,1U,228.55596283969948,spatial_same_fc,121-9438,1219438,33.76358,-84.4916,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,20500,,,,,0.0856,1.0,25800,0.0
2022-01-02,07:00:00,7,2022,1,2,Sunday,33.8737,-84.445721,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Not a Collision with Motor Vehicle,Off Roadway,Dawn,Rain,Wet,Atlanta Police Department,Lap and Shoulder Belt Used,Median Barrier,Median Barrier,Too Fast for Conditions,308,000308,33.8743,-84.44614,1U,77.04168004681986,spatial_same_fc,121-6370,1216370,33.874242,-84.446258,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,181000,3221.0,3647.0,0.179,0.091,0.0836,0.58,228000,12.675613219534489
2022-01-03,08:20:00,8,2022,1,3,Monday,33.795913,-84.392859,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-75 Nb,17Th St and I-75 Nb,Not a Collision with Motor Vehicle,On Roadway - Non-Intersection,Daylight,Cloudy,Wet,Gsp Post 00,Lap and Shoulder Belt Used,Other Non-Collision,Median Barrier,,R378,00R378,33.79504,-84.392,1U,125.35695167806321,spatial_same_fc,121-9912,1219912,33.79504,-84.392,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,30900,,,,,0.1251,1.0,38900,0.0
2022-01-03,16:00:00,16,2022,1,3,Monday,33.792893,-84.391747,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75I-85Nb,14Th St and I-75I-85Nb,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R378,00R378,33.79504,-84.392,1U,239.368468785806,spatial_same_fc,121-9912,1219912,33.79504,-84.392,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,30900,,,,,0.1251,1.0,38900,0.0
2022-01-03,01:00:00,1,2022,1,3,Monday,33.743255,-84.402193,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Rain,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Median Barrier,Changed Lanes Improperly,315,000315,33.74291,-84.40256,1U,51.20989085711707,spatial_same_fc,121-5505,1215505,33.742883,-84.403011,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,188000,6334.0,5463.0,0.277,0.174,0.0726,0.5,243000,41.910957623413125
2022-01-03,14:00:00,14,2022,1,3,Monday,33.764167,-84.492793,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Donald Lee Hollowell Pkwy Nw,Harwell Rd Nw and Donald Lee Hollowell Pkwy Nw,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,R376,00R376,33.76358,-84.4916,1U,128.30574067796442,spatial_same_fc,121-9438,1219438,33.76358,-84.4916,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,20500,,,,,0.0856,1.0,25800,0.0
2022-01-03,14:00:00,14,2022,1,3,Monday,33.79678,-84.395155,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-75Sb,I-75Sb and Deering Rd,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Following Too Close"",""Disregard Other Traffic Control""]",R356,00R356,33.79647,-84.39434,1U,82.9625639871835,spatial_same_fc,121-9178,1219178,33.79647,-84.39434,1U : Urban Principal Arterial - Interstate,2025,CCS,Estimated,39400,,,,,0.0933,1.0,56500,0.0
2022-01-03,14:00:00,14,2022,1,3,Monday,33.797143,-84.395388,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Interstate 75 Southbound,Deering Road and Interstate 75 Southbound,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R356,00R356,33.79647,-84.39434,1U,122.47620829998708,spatial_same_fc,121-9178,1219178,33.79647,-84.39434,1U : Urban Principal Arterial - Interstate,2025,CCS,Estimated,39400,,,,,0.0933,1.0,56500,0.0
2022-01-04,18:00:00,18,2022,1,4,Tuesday,33.806382,-84.379532,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Ga-13 S,Ga-13 S and Armour Dr,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,000322,33.80709,-84.37974,1U,80.88407715094134,spatial_same_fc,121-5969,1215969,33.80723,-84.3798,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,235000,7102.0,4620.0,0.28,0.137,0.0691,0.52,296000,16.497889805724764
2022-01-04,15:16:00,15,2022,1,4,Tuesday,33.742266,-84.404771,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Interstate 20 West,Interstate 20 West and Lee Street Overpass,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,315,000315,33.74291,-84.40256,1U,217.04009490173107,spatial_same_fc,121-5505,1215505,33.742883,-84.403011,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,188000,6334.0,5463.0,0.277,0.174,0.0726,0.5,243000,41.910957623413125
