Date,Time,Hour,Year,Month,Day,DayOfWeek,Crash Latitude,Crash Longitude,KABCO Severity,# of Fatalities per Crash,# Serious Injuries,# Visible Injuries,Geolocated City,Geolocated County,Roadway (From Crash Report),Intersection Name (from Crash Report),Manner of Collision (Crash Level),Location at Impact (Crash Level),Light Conditions (Crash Level),Weather Conditions (Crash Level),Surface Condition (Crash Level),Agency Name (Crash Level),Safety Equipment (Crash Level),First Harmful Event (Unit Order),Most Harmful Event (Crash Level),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",join_id,Crash_to_TMAS_m
2022-01-01,16:30:00,16,2022,1,1,Saturday,33.759656,-84.378486,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,John Lewis Freedom Pkwy Ne,Fort St Ne and John Lewis Freedom Pkwy Ne,Sideswipe-Same Direction,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown"",""Unknown"",""Booster Seat (Properly Used)"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Improper Turn,9,102.87467074062756
2022-01-01,18:37:00,18,2022,1,1,Saturday,33.807408,-84.379604,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,None and I-85,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Motorcycle Helmet"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Changed Lanes Improperly""]",322,37.46487019345638
2022-01-02,23:45:00,23,2022,1,2,Sunday,33.74299,-84.403274,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Sideswipe-Same Direction,Entrance/Exit Ramp,Dark-Lighted,Cloudy,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,315,66.77409168625246
2022-01-02,18:25:00,18,2022,1,2,Sunday,33.742505,-84.403767,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Clear,Wet,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,315,120.56549022978815
2022-01-02,05:30:00,5,2022,1,2,Sunday,33.677303,-84.397734,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,I-75 and Exit 241,Not a Collision with Motor Vehicle,On Roadway - Non-Intersection,Dark-Lighted,Cloudy,Water (standing or moving),Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Exceeding Speed Limit,309,112.0617160979082
2022-01-02,11:19:00,11,2022,1,2,Sunday,33.762101,-84.492659,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-285,None and I-285,Not a Collision with Motor Vehicle,Off Roadway,Daylight,Rain,Wet,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]",Motor Vehicle in Motion,Motor Vehicle in Motion,"[""Too Fast for Conditions"",""Inattentive or Other Distraction (Distracted)""]",R376,191.19617303588885
2022-01-02,10:44:00,10,2022,1,2,Sunday,33.764869,-84.493524,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,I-20 and I-285 N,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Inattentive or Other Distraction (Distracted),R376,228.55596283969948
2022-01-02,07:00:00,7,2022,1,2,Sunday,33.8737,-84.445721,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Not a Collision with Motor Vehicle,Off Roadway,Dawn,Rain,Wet,Atlanta Police Department,Lap and Shoulder Belt Used,Median Barrier,Median Barrier,Too Fast for Conditions,308,77.04168004681986
2022-01-03,08:20:00,8,2022,1,3,Monday,33.795913,-84.392859,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-75 Nb,17Th St and I-75 Nb,Not a Collision with Motor Vehicle,On Roadway - Non-Intersection,Daylight,Cloudy,Wet,Gsp Post 00,Lap and Shoulder Belt Used,Other Non-Collision,Median Barrier,,R378,125.3569516780632
2022-01-03,16:00:00,16,2022,1,3,Monday,33.792893,-84.391747,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75I-85Nb,14Th St and I-75I-85Nb,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R378,239.368468785806
2022-01-03,01:00:00,1,2022,1,3,Monday,33.743255,-84.402193,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Rain,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Median Barrier,Changed Lanes Improperly,315,51.20989085711707
