join_id,TMAS Station ID,TMAS Latitude,TMAS Longitude,TMAS Functional Class,time_period,time_value,total_crashes,fatal_crashes,serious_injuries,vehicle_count,traffic_observation_days,average_vehicle_count
113,000113,33.697436,-84.42434,2U,hour,0,1,0,0,436369,365,1195.53
113,000113,33.697436,-84.42434,2U,hour,1,0,0,0,297467,365,814.98
113,000113,33.697436,-84.42434,2U,hour,2,0,0,0,223844,365,613.27
113,000113,33.697436,-84.42434,2U,hour,3,0,0,0,205585,365,563.25
113,000113,33.697436,-84.42434,2U,hour,4,0,0,0,221091,365,605.73
113,000113,33.697436,-84.42434,2U,hour,5,0,0,0,384174,365,1052.53
113,000113,33.697436,-84.42434,2U,hour,6,0,0,0,692931,365,1898.44
113,000113,33.697436,-84.42434,2U,hour,7,0,0,0,1065442,365,2919.02
113,000113,33.697436,-84.42434,2U,hour,8,1,0,0,1177055,365,3224.81
113,000113,33.697436,-84.42434,2U,hour,9,0,0,0,1092977,365,2994.46
113,000113,33.697436,-84.42434,2U,hour,10,1,0,0,1123673,365,3078.56
113,000113,33.697436,-84.42434,2U,hour,11,0,0,0,1213992,365,3326.01
113,000113,33.697436,-84.42434,2U,hour,12,0,0,0,1330007,365,3643.85
113,000113,33.697436,-84.42434,2U,hour,13,0,0,0,1408394,365,3858.61
113,000113,33.697436,-84.42434,2U,hour,14,1,0,0,1495015,365,4095.93
113,000113,33.697436,-84.42434,2U,hour,15,0,0,0,1599612,365,4382.5
113,000113,33.697436,-84.42434,2U,hour,16,3,0,0,1690455,365,4631.38
113,000113,33.697436,-84.42434,2U,hour,17,1,0,0,1704653,365,4670.28
113,000113,33.697436,-84.42434,2U,hour,18,0,0,0,1493315,365,4091.27
113,000113,33.697436,-84.42434,2U,hour,19,1,0,0,1270120,365,3479.78
113,000113,33.697436,-84.42434,2U,hour,20,0,0,0,1079993,365,2958.88
113,000113,33.697436,-84.42434,2U,hour,21,0,0,0,914089,365,2504.35
113,000113,33.697436,-84.42434,2U,hour,22,0,0,0,780722,365,2138.96
113,000113,33.697436,-84.42434,2U,hour,23,0,0,0,612463,365,1677.98
195,000195,33.67238,-84.41434,1U,hour,0,0,0,0,1024268,364,2813.92
195,000195,33.67238,-84.41434,1U,hour,1,0,0,0,645818,364,1774.23
195,000195,33.67238,-84.41434,1U,hour,2,1,0,0,463473,364,1273.28
195,000195,33.67238,-84.41434,1U,hour,3,0,0,0,490489,364,1347.5
195,000195,33.67238,-84.41434,1U,hour,4,0,0,0,845546,364,2322.93
195,000195,33.67238,-84.41434,1U,hour,5,0,0,0,1628430,364,4473.71
195,000195,33.67238,-84.41434,1U,hour,6,0,0,0,2389859,364,6565.55
195,000195,33.67238,-84.41434,1U,hour,7,0,0,0,2680064,364,7362.81
195,000195,33.67238,-84.41434,1U,hour,8,0,0,0,2754433,364,7567.12
195,000195,33.67238,-84.41434,1U,hour,9,0,0,0,2576275,364,7077.68
195,000195,33.67238,-84.41434,1U,hour,10,0,0,0,2633955,364,7236.14
195,000195,33.67238,-84.41434,1U,hour,11,0,0,0,2750489,364,7556.29
195,000195,33.67238,-84.41434,1U,hour,12,0,0,0,2866991,364,7876.35
195,000195,33.67238,-84.41434,1U,hour,13,0,0,0,2991693,364,8218.94
195,000195,33.67238,-84.41434,1U,hour,14,1,0,0,3073802,364,8444.51
195,000195,33.67238,-84.41434,1U,hour,15,0,0,0,3165565,364,8696.61
195,000195,33.67238,-84.41434,1U,hour,16,0,0,0,3229231,364,8871.51
195,000195,33.67238,-84.41434,1U,hour,17,0,0,0,3185357,364,8750.98
195,000195,33.67238,-84.41434,1U,hour,18,0,0,0,2879393,364,7910.42
195,000195,33.67238,-84.41434,1U,hour,19,0,0,0,2691205,364,7393.42
195,000195,33.67238,-84.41434,1U,hour,20,0,0,0,2495304,364,6855.23
195,000195,33.67238,-84.41434,1U,hour,21,0,0,0,2171763,364,5966.38
195,000195,33.67238,-84.41434,1U,hour,22,0,0,0,1912782,364,5254.9
195,000195,33.67238,-84.41434,1U,hour,23,0,0,0,1476046,364,4055.07
271,000271,33.86529,-84.38077,3U,hour,0,0,0,0,104367,365,285.94
271,000271,33.86529,-84.38077,3U,hour,1,1,0,0,66692,365,182.72
271,000271,33.86529,-84.38077,3U,hour,2,0,0,0,50534,365,138.45
271,000271,33.86529,-84.38077,3U,hour,3,0,0,0,37468,365,102.65
271,000271,33.86529,-84.38077,3U,hour,4,0,0,0,27607,365,75.64
271,000271,33.86529,-84.38077,3U,hour,5,0,0,0,52612,365,144.14
271,000271,33.86529,-84.38077,3U,hour,6,0,0,0,136244,365,373.27
271,000271,33.86529,-84.38077,3U,hour,7,1,0,0,357891,365,980.52
271,000271,33.86529,-84.38077,3U,hour,8,0,0,0,523659,365,1434.68
271,000271,33.86529,-84.38077,3U,hour,9,0,0,0,522772,365,1432.25
271,000271,33.86529,-84.38077,3U,hour,10,0,0,0,547722,365,1500.61
271,000271,33.86529,-84.38077,3U,hour,11,0,0,0,662357,365,1814.68
271,000271,33.86529,-84.38077,3U,hour,12,3,0,0,765834,365,2098.18
271,000271,33.86529,-84.38077,3U,hour,13,0,0,0,740270,365,2028.14
271,000271,33.86529,-84.38077,3U,hour,14,0,0,0,692903,365,1898.36
271,000271,33.86529,-84.38077,3U,hour,15,1,0,1,700002,365,1917.81
271,000271,33.86529,-84.38077,3U,hour,16,1,0,0,699894,365,1917.52
271,000271,33.86529,-84.38077,3U,hour,17,0,0,0,721011,365,1975.37
271,000271,33.86529,-84.38077,3U,hour,18,1,0,0,648533,365,1776.8
271,000271,33.86529,-84.38077,3U,hour,19,1,0,0,525970,365,1441.01
271,000271,33.86529,-84.38077,3U,hour,20,0,0,0,400588,365,1097.5
271,000271,33.86529,-84.38077,3U,hour,21,0,0,0,302541,365,828.88
271,000271,33.86529,-84.38077,3U,hour,22,0,0,0,218347,365,598.21
271,000271,33.86529,-84.38077,3U,hour,23,0,0,0,157225,365,430.75
308,000308,33.8743,-84.44614,1U,hour,0,1,0,0,418489,157,2665.54
308,000308,33.8743,-84.44614,1U,hour,1,0,0,0,276790,157,1762.99
308,000308,33.8743,-84.44614,1U,hour,2,0,0,0,213568,157,1360.31
308,000308,33.8743,-84.44614,1U,hour,3,0,0,0,204078,157,1299.86
308,000308,33.8743,-84.44614,1U,hour,4,0,0,0,264718,157,1686.1
308,000308,33.8743,-84.44614,1U,hour,5,0,0,0,552908,157,3521.71
308,000308,33.8743,-84.44614,1U,hour,6,1,0,0,1037750,157,6609.87
308,000308,33.8743,-84.44614,1U,hour,7,2,0,0,1579149,157,10058.27
308,000308,33.8743,-84.44614,1U,hour,8,1,0,0,1735193,157,11052.18
308,000308,33.8743,-84.44614,1U,hour,9,1,0,0,1556887,157,9916.48
308,000308,33.8743,-84.44614,1U,hour,10,1,0,0,1493373,157,9511.93
308,000308,33.8743,-84.44614,1U,hour,11,1,0,0,1543873,157,9833.59
308,000308,33.8743,-84.44614,1U,hour,12,2,0,0,1610346,157,10256.98
308,000308,33.8743,-84.44614,1U,hour,13,1,0,0,1669976,157,10636.79
308,000308,33.8743,-84.44614,1U,hour,14,1,0,0,1768675,157,11265.45
308,000308,33.8743,-84.44614,1U,hour,15,2,0,0,1879254,157,11969.77
308,000308,33.8743,-84.44614,1U,hour,16,4,0,0,1924165,157,12255.83
308,000308,33.8743,-84.44614,1U,hour,17,3,0,0,1947198,157,12402.54
308,000308,33.8743,-84.44614,1U,hour,18,4,0,0,1715211,157,10924.91
308,000308,33.8743,-84.44614,1U,hour,19,1,0,0,1394729,157,8883.62
308,000308,33.8743,-84.44614,1U,hour,20,0,0,0,1138132,157,7249.25
308,000308,33.8743,-84.44614,1U,hour,21,0,0,0,983864,157,6266.65
308,000308,33.8743,-84.44614,1U,hour,22,2,0,0,866878,157,5521.52
308,000308,33.8743,-84.44614,1U,hour,23,0,0,0,655129,157,4172.8
309,000309,33.67633,-84.39741,1U,hour,0,0,0,0,1093843,344,3179.78
309,000309,33.67633,-84.39741,1U,hour,1,1,0,0,777594,344,2260.45
309,000309,33.67633,-84.39741,1U,hour,2,2,0,1,635001,344,1845.93
309,000309,33.67633,-84.39741,1U,hour,3,2,0,0,655701,344,1906.11
309,000309,33.67633,-84.39741,1U,hour,4,0,0,0,851225,344,2474.49
309,000309,33.67633,-84.39741,1U,hour,5,1,0,0,1645749,344,4784.15
309,000309,33.67633,-84.39741,1U,hour,6,0,0,0,2655655,344,7719.93
309,000309,33.67633,-84.39741,1U,hour,7,3,0,0,3135863,344,9115.88
309,000309,33.67633,-84.39741,1U,hour,8,1,0,0,3008303,344,8745.07
309,000309,33.67633,-84.39741,1U,hour,9,2,0,0,2974984,344,8648.21
309,000309,33.67633,-84.39741,1U,hour,10,1,0,0,3132996,344,9107.55
309,000309,33.67633,-84.39741,1U,hour,11,0,0,0,3243719,344,9429.42
