"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","2022-01-01","None and Exit 10A Rp","(O) No Injury","Dark-Not Lighted","Entrance/Exit Ramp","Sideswipe-Same Direction","Exit 10A Rp","Dry","02:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.761111,-84.488849,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Fort St Ne and John Lewis Freedom Pkwy Ne","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Sideswipe-Same Direction","John Lewis Freedom Pkwy Ne","Dry","16:30:00","[""Unknown"",""Unknown"",""Unknown"",""Booster Seat (Properly Used)"",""Unknown""]","Clear",0,33.759656,-84.378486,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Turn","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Lindbergh Dr Ne and Cheshire Bridge Rd Ne","(O) No Injury","Dark-Lighted","On Roadway - Driveway Intersection","Sideswipe-Same Direction","Cheshire Bridge Rd Ne","Wet","03:33:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Rain",0,33.818577,-84.351592,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","None and Forsyth St Sw","(O) No Injury","Dark-Not Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","Forsyth St Sw","Dry","23:00:00","[""Unknown"",""Unknown""]","Clear",0,33.74874,-84.396588,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Nelms Ave Ne and Dekalb Ave Ne","(O) No Injury","Dark-Not Lighted","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Nelms Ave Ne","Dry","18:33:00","None Used","Clear",0,33.761912,-84.332184,"Atlanta","DEKALB","Motor Vehicle in Motion",,"Motor Vehicle in Motion"
1,0,"Atlanta Police Department","2022-01-01","North Ave Ne and Piedmont Ave Ne","(A) Suspected Serious Injury","Dark-Lighted","On Roadway - Non-Intersection","Angle Crash","North Ave Ne","Dry","23:09:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.771179,-84.381894,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Barnett St Ne and Ponce De Leon Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Angle Crash","Ponce De Leon Ave Ne","Dry","17:00:00","[""None Used"",""None Used"",""None Used""]","Clear",0,33.773821,-84.358736,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","None and I-75","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-75","Dry","15:35:00","[""Unknown"",""Unknown"",""Unknown"",""Unknown""]","Cloudy",0,33.787797,-84.390818,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","High Point Dr Ne and N Highland Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Rear End","N Highland Ave Ne","Dry","15:30:00","[""None Used"",""None Used""]","Clear",0,33.79393,-84.351238,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Piedmont Rd Ne and Sidney Marcus Blvd Ne","(O) No Injury","Dark-Lighted","On Roadway - Managed Lane (HOV, HOT, Reversible)","Rear End","Sidney Marcus Blvd Ne","Dry","01:10:00","[""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.825765,-84.366665,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","18Th St Nw and State St Nw","(O) No Injury","Dark-Not Lighted","Off Roadway","Head On","State St Nw","Dry","22:00:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.792342,-84.398795,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","2022-01-01","None and I-75","(B) Suspected Minor/Visible Injury","Dark-Lighted","On Roadway - Non-Intersection","Rear End","I-75","Dry","21:44:00","[""None Used"",""None Used"",""None Used"",""None Used"",""None Used"",""None Used"",""Lap Belt Only Used"",""None Used""]","Clear",0,33.732878,-84.391908,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Jonesboro Rd Se and Cleveland Ave Se","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Sideswipe-Same Direction","Jonesboro Rd Se","Dry","15:43:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.680368,-84.367322,"Atlanta","FULTON","[""Parked Motor Vehicle"",""Motor Vehicle in Motion""]","Improper Turn","[""Parked Motor Vehicle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","None and I-75","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-75","Dry","01:30:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.690548,-84.401549,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Aggressive Driving""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","None and I-75","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Managed Lane (HOV, HOT, Reversible)","Not a Collision with Motor Vehicle","I-75","Dry","02:25:00","[""Unknown"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.850272,-84.431115,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Aggressive Driving"",""Reckless Driving"",""Disregard Other Traffic Control""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Baker St Ne and Peachtree Center Ave Ne","(O) No Injury","Dark-Lighted","On Roadway - Roadway Intersection","Rear End","Peachtree Center Ave Ne","Dry","23:40:00","[""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.761943,-84.386022,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]","Following Too Close","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]"
0,0,"Atlanta Police Department","2022-01-01","Boulevard Ne and John Lewis Freedom Pkwy Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","John Lewis Freedom Pkwy Ne","Wet","12:16:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.760097,-84.372795,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Boulevard Se and Ormewood Ave Se","(O) No Injury","Dark-Lighted","On Roadway - Roadway Intersection","Rear End","Boulevard Se","Wet","02:57:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.734173,-84.368261,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","2022-01-01","Piedmont Ave Ne and Cheshire Bridge Rd Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Driveway Intersection","Angle Crash","Cheshire Bridge Rd Ne","Dry","16:58:00","[""Lap and Shoulder Belt Used"",""Motorcycle Helmet""]","Cloudy",0,33.807843,-84.365634,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Disregard Other Traffic Control","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","None and Fulton St Sw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Fulton St Sw","Dry","15:05:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.740944,-84.404403,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Parked Motor Vehicle""]","[""Inattentive or Other Distraction (Distracted)"",""Inattentive or Other Distraction (Distracted)""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Parked Motor Vehicle""]"
0,0,"Atlanta Police Department","2022-01-01","14Th St Nw and Spring St Nw","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Roadway Intersection","Rear End","Spring St Nw","Dry","18:00:00","[""Unknown"",""Unknown""]","Clear",0,33.786791,-84.38925,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Northside Dr Nw and Bellemeade Ave Nw","(O) No Injury","Dark-Lighted","On Roadway - Roadway Intersection","Sideswipe-Same Direction","Northside Dr Nw","Dry","18:40:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.80019,-84.407829,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Misjudged Clearance"",""Changed Lanes Improperly""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-01-01","Pryor Road and Memorial Drive","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","Pryor Road","Wet","00:15:00","[""None Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.746525,-84.394403,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Under the Influence (U.I.)","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-01-01","None and I-75I-85 South Exit Ramp To N","(C) Possible Injury / Complaint","Dark-Lighted","Entrance/Exit Ramp","Rear End","I-75I-85 South Exit Ramp To N","Dry","21:47:00","[""None Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.771581,-84.390436,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Reckless Driving"",""Following Too Close"",""Disregard Police - Evasion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-01-01","Lenox Rd Ne and Buford Hwy Ne","(O) No Injury","Dark-Lighted","Off Roadway","Angle Crash","Lenox Rd Ne","Dry","21:08:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.825561,-84.352778,"Atlanta","FULTON","[""Impact Attenuate"",""Impact Attenuate""]","Failure to Yield","[""Impact Attenuate"",""Impact Attenuate""]"
0,1,"Atlanta Police Department","2022-01-01","16Th St Nw and Northside Dr Nw","(B) Suspected Minor/Visible Injury","Dark-Lighted","Off Roadway","Not a Collision with Motor Vehicle","Northside Dr Nw","Dry","05:10:00","Lap and Shoulder Belt Used","Clear",0,33.788642,-84.407678,"Atlanta","FULTON","Bridge/Pier Abutment","Driver Lost Control","Bridge/Pier Abutment"
0,0,"Atlanta Police Department","2022-01-01","Peek Rd Nw and Donald Lee Hollowell Pkwy Nw","(O) No Injury","Dark-Not Lighted","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","Peek Rd Nw","Dry","00:10:00","Lap and Shoulder Belt Used","Clear",0,33.777638,-84.477996,"Atlanta","FULTON","Utility Pole","Reaction to Object or Animal","Utility Pole"
0,0,"Atlanta Police Department","2022-01-01","None and I-85","(O) No Injury","Daylight","On Shoulder","Not a Collision with Motor Vehicle","I-85","Water (standing or moving)","11:35:00","Lap and Shoulder Belt Used","Rain",0,33.683661,-84.409458,"Atlanta","FULTON","Other - Fixed Object","Driver Lost Control","Other - Fixed Object"
0,0,"Atlanta Police Department","2022-01-01","Maldo Dr Nw and Revere Dr Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Angle Crash","Revere Dr Nw","Dry","16:00:00","[""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.801128,-84.481315,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]","[""Driver Lost Control"",""Reckless Driving""]","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]"
0,0,"Atlanta Police Department","2022-01-01","Northside Dr Nw and Joseph E Boone Blvd Nw","(O) No Injury","Dark-Not Lighted","On Roadway - Roadway Intersection","Rear End","Northside Dr Nw","Dry","20:15:00","Unknown","Cloudy",0,33.763291,-84.402895,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
