Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"001-0101",3R : Rural Principal Arterial - Other,31.715363,-82.381788,2025,4940,Actual,464,545,0.668,0.527,0.0859,0.54,7840,Short Term
"001-0105",3U : Urban Principal Arterial - Other,31.767430,-82.353490,2025,13000,Estimated,592,586,0.481,0.209,0.1064,0.52,22200,Short Term
"001-0107",3U : Urban Principal Arterial - Other,31.773846,-82.350339,2025,14900,Estimated,810,673,0.426,0.291,0.0896,0.51,20600,Short Term
"001-0109",3U : Urban Principal Arterial - Other,31.779416,-82.348327,2025,13100,Actual,804,684,0.55,0.344,0.0948,0.51,16500,Short Term
"001-0112",3U : Urban Principal Arterial - Other,31.786268,-82.350172,2025,9710,Estimated,647,377,0.479,0.219,0.0963,0.61,12200,Short Term
"001-0114",3R : Rural Principal Arterial - Other,31.836979,-82.350421,2025,7090,Estimated,758,770,1.269,0.542,0.1001,0.54,8930,Short Term
"001-0118",3R : Rural Principal Arterial - Other,31.909228,-82.356139,2025,6320,Estimated,420,698,0.391,0.697,0.0832,0.52,7960,Short Term
"001-0121",4R : Rural Minor Arterial,31.545377,-82.207377,2025,2410,Actual,239,413,0.582,0.748,0.0802,0.59,3040,Short Term
"001-0123",4R : Rural Minor Arterial,31.619641,-82.256294,2025,1820,Estimated,206,261,0.744,0.744,0.1188,0.57,2290,Short Term
"001-0125",4R : Rural Minor Arterial,31.681809,-82.302278,2025,2780,Estimated,281,356,0.492,0.861,0.1031,0.62,4120,Short Term
"001-0127",4R : Rural Minor Arterial,31.715192,-82.333471,2025,3490,Estimated,361,313,0.696,0.435,0.1105,0.7,4400,Short Term
"001-0129",4U : Urban Minor Arterial,31.754227,-82.351713,2025,6610,Actual,365,246,1.029,0.257,0.1535,0.56,8330,Short Term
"001-0132",4U : Urban Minor Arterial,31.762393,-82.354255,2025,7750,Estimated,477,282,0.678,0.144,0.1472,0.52,9770,Short Term
"001-0133",4R : Rural Minor Arterial,31.713413,-82.520596,2025,2080,Estimated,183,368,1.074,0.972,0.0905,0.54,2620,Short Term
"001-0134",4R : Rural Minor Arterial,31.747514,-82.544050,2025,2410,Actual,273,500,0.911,1.077,0.0708,0.54,3290,Short Term
"001-0136",3R : Rural Principal Arterial - Other,31.834715,-82.509436,2025,7960,Actual,505,1277,0.359,0.718,0.0746,0.54,12000,Short Term
"001-0138",3R : Rural Principal Arterial - Other,31.811259,-82.442870,2025,9250,Actual,554,1541,0.476,0.688,0.0789,0.57,13300,Short Term
"001-0141",3U : Urban Principal Arterial - Other,31.780828,-82.355952,2025,15300,Estimated,875,1092,0.436,0.251,0.0955,0.54,23100,Short Term
"001-0143",3U : Urban Principal Arterial - Other,31.775727,-82.340071,2025,11200,Estimated,686,761,0.648,0.45,0.0961,0.52,14100,Short Term
"001-0145",3R : Rural Principal Arterial - Other,31.745106,-82.253012,2025,5070,Estimated,407,1128,0.598,1.515,0.0889,0.53,8930,Short Term
"001-0152",3R : Rural Principal Arterial - Other,31.723267,-82.186845,2025,6390,Actual,345,1640,0.3,0.994,0.0709,0.56,10200,Short Term
"001-0156",5R : Rural Major Collector,31.591762,-82.272027,2025,1030,Estimated,119,119,0.494,0.296,0.0809,0.57,1300,Short Term
"001-0158",5R : Rural Major Collector,31.589297,-82.218167,2025,1330,Actual,79,201,0.526,1.682,0.0994,0.6,1680,Short Term
"001-0161",5R : Rural Major Collector,31.590907,-82.179125,2025,1180,Estimated,110,124,0.598,0.94,0.0838,0.53,1490,Short Term
"001-0163",4R : Rural Minor Arterial,31.577552,-82.208539,2025,960,Actual,105,250,1.239,1.363,0.0779,0.56,1210,Short Term
"001-0165",4R : Rural Minor Arterial,31.659808,-82.207844,2025,1570,Actual,112,329,0.493,1.888,0.0788,0.67,1980,Short Term
"001-0169",4R : Rural Minor Arterial,31.726543,-82.196416,2025,1620,Estimated,163,386,0.823,1.772,0.0854,0.57,2040,Short Term
"001-0170",4R : Rural Minor Arterial,31.776909,-82.155205,2025,1360,Actual,119,280,0.996,1.328,0.0833,0.56,2470,Short Term
"001-0172",4R : Rural Minor Arterial,31.848848,-82.098418,2025,3960,Estimated,390,843,1.062,1.322,0.0837,0.53,6600,Short Term
"001-0174",5U : Urban Major Collector,31.784200,-82.345930,2025,3580,Estimated,,,,,0.0943,0.59,4740,Short Term
"001-0176",5R : Rural Major Collector,31.788694,-82.328623,2025,3220,Actual,222,354,,,0.0924,0.54,6180,Short Term
"001-0178",4R : Rural Minor Arterial,31.795076,-82.280414,2025,3290,Actual,311,404,0.67,0.639,0.0731,0.64,7040,Short Term
"001-0181",4R : Rural Minor Arterial,31.837396,-82.132140,2025,2420,Actual,230,389,0.745,0.828,0.0783,0.55,3050,Short Term
"001-0183",4R : Rural Minor Arterial,31.831560,-82.086470,2025,1180,Actual,37,142,0,0.593,0.1126,0.5,1810,CCS
"001-0185",5R : Rural Major Collector,31.602850,-82.308160,2025,390,Actual,13,26,0.773,2.32,0.1314,0.51,490,CCS
"001-0187",5R : Rural Major Collector,31.683151,-82.332266,2025,680,Estimated,59,13,0.45,0.6,0.1139,0.67,860,Short Term
"001-0189",5R : Rural Major Collector,31.715164,-82.359191,2025,1010,Actual,75,35,1.085,0,0.1351,0.58,1520,Short Term
"001-0194",5R : Rural Major Collector,31.759517,-82.369744,2025,2020,Estimated,71,44,0.201,0.05,0.1717,0.53,2550,Short Term
"001-0196",5U : Urban Major Collector,31.769117,-82.356611,2025,2220,Estimated,,,,,0.1161,0.5,6660,Short Term
"001-0198",5R : Rural Major Collector,31.733840,-82.520498,2025,440,Estimated,31,21,,,0.1329,0.64,660,Short Term
"001-0201",5R : Rural Major Collector,31.765595,-82.517033,2025,330,Estimated,,,,,0.0942,0.52,500,Short Term
"001-0203",5R : Rural Major Collector,31.820531,-82.507151,2025,630,Actual,82,28,1.301,0.186,0.1067,0.52,890,Short Term
"001-0205",5R : Rural Major Collector,31.747649,-82.533079,2025,1170,Actual,123,117,1.028,0.343,0.0985,0.59,1920,Short Term
"001-0207",5R : Rural Major Collector,31.749789,-82.489680,2025,870,Estimated,,,,,0.1103,0.61,1430,Short Term
"001-0209",5R : Rural Major Collector,31.770285,-82.419928,2025,1320,Estimated,143,34,0.615,0.077,0.1077,0.56,1890,Short Term
"001-0212",5U : Urban Major Collector,31.777539,-82.355672,2025,3740,Actual,,,,,0.1191,0.59,5080,Short Term
"001-0214",5R : Rural Major Collector,31.867804,-82.400627,2025,700,Estimated,,,,,0.1235,0.53,880,Short Term
"001-0216",5R : Rural Major Collector,31.872260,-82.315478,2025,830,Actual,,,,,0.0987,0.57,1090,Short Term
"001-0218",5R : Rural Major Collector,31.810851,-82.308793,2025,1260,Estimated,71,31,0.631,0.451,0.1009,0.71,1590,Short Term
"001-0221",5R : Rural Major Collector,31.879089,-82.189855,2025,820,Actual,62,29,0.158,0.473,0.0984,0.69,1030,Short Term
"001-0223",5R : Rural Major Collector,31.544223,-82.175085,2025,440,Estimated,,,,,0.0891,0.54,890,Short Term
"001-0225",5R : Rural Major Collector,31.509902,-82.144589,2025,290,Estimated,37,49,1.064,1.418,0.117,0.52,370,Short Term
"001-0229",6R : Rural Minor Collector,31.851476,-82.405537,2025,680,Actual,,,,,0.1092,0.65,860,Short Term
"001-0232",6R : Rural Minor Collector,31.646052,-82.243373,2025,300,Actual,29,26,1.678,2.349,0.1107,0.55,400,Short Term
"001-0234",6R : Rural Minor Collector,31.748296,-82.360228,2025,1360,Estimated,184,23,2.307,0.074,0.1525,0.6,2540,Short Term
"001-0236",6R : Rural Minor Collector,31.752780,-82.373033,2025,450,Estimated,33,12,0.673,0.224,0.1547,0.59,570,Short Term
"001-0238",5U : Urban Major Collector,31.767853,-82.345218,2025,890,Estimated,32,2,0.228,0,0.1073,0.53,1120,Short Term
"001-0241",5U : Urban Major Collector,31.750177,-82.347202,2025,890,Estimated,,,,,0.114,0.68,1450,Short Term
"001-7001",5R : Rural Major Collector,31.711624,-82.520001,2025,600,Actual,,,,,0.0922,0.53,870,Short Term
"001-8005",6R : Rural Minor Collector,31.725880,-82.517320,2025,270,Estimated,,,,,0.1236,0.8,360,Short Term
"001-8011",7R : Rural Local,31.697442,-82.368818,2025,270,Actual,22,7,1.305,0,0.1066,0.63,340,Short Term
"001-8027",6R : Rural Minor Collector,31.803200,-82.156700,2025,90,Estimated,,,,,,,110,Short Term
"001-8031",7R : Rural Local,31.891501,-82.181727,2025,120,Estimated,8,5,0,0,0.1157,0.57,150,Short Term
"001-8045",7R : Rural Local,31.800747,-82.490284,2025,230,Estimated,10,3,0,0,0.1454,0.55,290,Short Term
"001-8046",6R : Rural Minor Collector,31.725088,-82.502729,2025,350,Estimated,19,18,0.053,0.05,0.1181,0.57,440,Short Term
"001-8047",6R : Rural Minor Collector,31.756368,-82.380572,2025,1460,Estimated,107,37,1.481,0.156,0.1045,0.57,1840,Short Term
"001-8048",6R : Rural Minor Collector,31.733697,-82.414303,2025,920,Actual,81,27,0.435,0.543,0.1087,0.66,1160,Short Term
"001-8049",6R : Rural Minor Collector,31.720943,-82.457403,2025,660,Estimated,69,33,1.389,0.617,0.1127,0.56,850,Short Term
"001-8050",6R : Rural Minor Collector,31.787063,-82.388107,2025,250,Estimated,13,4,0.405,0,0.1619,0.55,750,Short Term
"001-8052",6R : Rural Minor Collector,31.672191,-82.314332,2025,70,Actual,3,3,1.493,0,0.1791,0.83,90,Short Term
"001-8056",7R : Rural Local,31.754099,-82.318883,2025,60,Estimated,2,0,1.724,0,0.1897,0.55,80,Short Term
"001-8060",7R : Rural Local,31.848049,-82.187776,2025,30,Estimated,,,,,,,40,Short Term
