station_id,latitude,longitude,functional_class
000345,33.8132,-84.2559,1U
000322,33.80709,-84.37974,1U
000315,33.74291,-84.40256,1U
000313,33.75941,-84.47873,1U
000311,33.88379,-84.26857,1U
000310,33.70881,-84.40227,1U
000309,33.67633,-84.39741,1U
000308,33.8743,-84.44614,1U
000304,33.90572,-84.43242,1U
000271,33.86529,-84.38077,3U
000231,33.88582,-84.29653,4U
000195,33.67238,-84.41434,1U
000192,33.81647,-84.30596,3U
000113,33.697436,-84.42434,2U
000089,33.90536,-84.310031,4U
000086,33.7862,-84.40443,4U
000077,33.74314,-84.37869,1U
000011,33.82814,-84.34433,1U
00R378,33.79504,-84.392,1U
00R376,33.76358,-84.4916,1U
00R374,33.88986,-84.46014,1U
00R373,33.88849,-84.46273,1U
00R372,33.88643,-84.4664,1U
00R365,33.7976,-84.3941,1U
00R363,33.885935,-84.252235,1U
00R357,33.6864,-84.401,1U
00R356,33.79647,-84.39434,1U
00R350,33.6729,-84.3325,1U
00R349,33.9132,-84.2873,1U
000009,33.75873,-84.37843,1U
